id,manufacturer,company_location,bean_origin,cocoa_percent,num_ingredients,ingredients,rating
2454,5150,U.S.A.,Tanzania,76.0,3.0,"B,S,C",3.25
2458,5150,U.S.A.,Dominican Republic,76.0,3.0,"B,S,C",3.5
2454,5150,U.S.A.,Madagascar,76.0,3.0,"B,S,C",3.75
2542,5150,U.S.A.,Fiji,68.0,3.0,"B,S,C",3.0
2546,5150,U.S.A.,Venezuela,72.0,3.0,"B,S,C",3.0
2546,5150,U.S.A.,Uganda,80.0,3.0,"B,S,C",3.25
2542,5150,U.S.A.,India,68.0,3.0,"B,S,C",3.5
797,A. Morin,France,Bolivia,70.0,4.0,"B,S,C,L",3.5
797,A. Morin,France,Peru,63.0,4.0,"B,S,C,L",3.75
1011,A. Morin,France,Panama,70.0,4.0,"B,S,C,L",2.75
1015,A. Morin,France,Colombia,70.0,4.0,"B,S,C,L",2.75
1011,A. Morin,France,Madagascar,70.0,4.0,"B,S,C,L",3.0
1015,A. Morin,France,Burma,70.0,4.0,"B,S,C,L",3.0
1011,A. Morin,France,Brazil,70.0,4.0,"B,S,C,L",3.25
1015,A. Morin,France,Papua New Guinea,70.0,4.0,"B,S,C,L",3.25
1019,A. Morin,France,Peru,70.0,4.0,"B,S,C,L",3.25
1019,A. Morin,France,Peru,70.0,4.0,"B,S,C,L",3.5
1011,A. Morin,France,Ecuador,70.0,4.0,"B,S,C,L",3.75
1015,A. Morin,France,Venezuela,70.0,4.0,"B,S,C,L",4.0
1019,A. Morin,France,Peru,63.0,3.0,"B,S,C",4.0
1315,A. Morin,France,Venezuela,70.0,4.0,"B,S,C,L",2.75
1315,A. Morin,France,Cuba,70.0,4.0,"B,S,C,L",3.5
1315,A. Morin,France,Venezuela,70.0,4.0,"B,S,C,L",3.5
1319,A. Morin,France,Venezuela,70.0,4.0,"B,S,C,L",3.75
1319,A. Morin,France,Peru,70.0,4.0,"B,S,C,L",4.0
1676,A. Morin,France,Togo,70.0,4.0,"B,S,C,L",2.75
1676,A. Morin,France,Togo,70.0,4.0,"B,S,C,L",3.0
1680,A. Morin,France,Togo,70.0,4.0,"B,S,C,L",3.5
1704,A. Morin,France,Peru,70.0,4.0,"B,S,C,L",3.5
1876,A. Morin,France,Sao Tome,63.0,4.0,"B,S,C,L",3.75
2206,A. Morin,France,Venezuela,70.0,4.0,"B,S,C,L",3.5
2206,A. Morin,France,Peru,63.0,4.0,"B,S,C,L",3.75
2648,A. Morin,France,Mexico,70.0,4.0,"B,S,C,L",4.0
1462,Acalli,U.S.A.,Peru,70.0,2.0,"B,S",3.75
1470,Acalli,U.S.A.,Peru,70.0,2.0,"B,S",3.75
2462,Acalli,U.S.A.,Mexico,74.0,2.0,"B,S",3.25
2470,Acalli,U.S.A.,Peru,70.0,2.0,"B,S",3.5
705,Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,60.0,3.0,"B,S,C",2.75
705,Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,80.0,3.0,"B,S,C",3.25
705,Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,88.0,3.0,"B,S,C",3.5
705,Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,72.0,3.0,"B,S,C",3.5
2438,Aelan,Vanuatu,Vanuatu,70.0,2.0,"B,S",2.5
2438,Aelan,Vanuatu,Vanuatu,70.0,2.0,"B,S",2.75
2442,Aelan,Vanuatu,Vanuatu,70.0,2.0,"B,S",2.75
2438,Aelan,Vanuatu,Vanuatu,70.0,2.0,"B,S",3.0
